query,rank,score,ref_mask
pred_masks\AllDatasets_pool\briquet\masks\briquet_10000_pred.png,1,0.9999930262565613,briquet_10000.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10000_pred.png,2,0.9974701404571533,briquet_6323.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10000_pred.png,3,0.9969748258590698,briquet_5098.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10000_pred.png,4,0.996552586555481,briquet_41.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10000_pred.png,5,0.9965016841888428,briquet_12751.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10001_pred.png,1,0.9999760985374451,briquet_10001.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10001_pred.png,2,0.9996975064277649,briquet_6570.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10001_pred.png,3,0.9993358254432678,briquet_6468.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10001_pred.png,4,0.999210000038147,briquet_12504.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10001_pred.png,5,0.9991925358772278,briquet_13315.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10002_pred.png,1,0.9999205470085144,briquet_10002.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10002_pred.png,2,0.9989428520202637,briquet_4230.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10002_pred.png,3,0.9988487958908081,briquet_10719.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10002_pred.png,4,0.9980217814445496,briquet_4776.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10002_pred.png,5,0.9980142116546631,briquet_3456-1.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10003_pred.png,1,0.9999697804450989,briquet_10003.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10003_pred.png,2,0.9995878338813782,briquet_7483.png
pred_masks\AllDatasets_pool\briquet\masks\briquet_10003_pred.png,3,0.99955815076828,briquet_4035.png
